Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
15,1/16/2023,CUST015,Female,42,Electronics,4,500,2000
65,12/5/2023,CUST065,Male,51,Electronics,4,500,2000
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000
253,8/31/2023,CUST253,Female,53,Clothing,4,500,2000
257,2/19/2023,CUST257,Male,19,Beauty,4,500,2000
269,2/1/2023,CUST269,Male,25,Clothing,4,500,2000
281,5/23/2023,CUST281,Female,29,Beauty,4,500,2000
342,10/24/2023,CUST342,Female,43,Clothing,4,500,2000
412,9/16/2023,CUST412,Female,19,Electronics,4,500,2000
416,2/17/2023,CUST416,Male,53,Electronics,4,500,2000
420,1/23/2023,CUST420,Female,22,Clothing,4,500,2000
447,7/6/2023,CUST447,Male,22,Beauty,4,500,2000
476,8/29/2023,CUST476,Female,27,Clothing,4,500,2000
480,6/29/2023,CUST480,Female,42,Beauty,4,500,2000
487,7/24/2023,CUST487,Male,44,Clothing,4,500,2000
503,10/25/2023,CUST503,Male,45,Beauty,4,500,2000
547,3/7/2023,CUST547,Male,63,Clothing,4,500,2000
561,5/27/2023,CUST561,Female,64,Clothing,4,500,2000
572,4/20/2023,CUST572,Male,31,Clothing,4,500,2000
577,2/13/2023,CUST577,Male,21,Beauty,4,500,2000
592,1/24/2023,CUST592,Female,46,Beauty,4,500,2000
595,11/9/2023,CUST595,Female,18,Clothing,4,500,2000
626,9/29/2023,CUST626,Female,26,Clothing,4,500,2000
634,10/8/2023,CUST634,Male,60,Electronics,4,500,2000
664,12/28/2023,CUST664,Female,44,Clothing,4,500,2000
700,12/9/2023,CUST700,Male,36,Electronics,4,500,2000
731,5/10/2023,CUST731,Male,54,Clothing,4,500,2000
735,10/4/2023,CUST735,Female,64,Clothing,4,500,2000
742,1/21/2023,CUST742,Female,38,Electronics,4,500,2000
743,1/16/2023,CUST743,Female,34,Beauty,4,500,2000
773,7/23/2023,CUST773,Male,25,Electronics,4,500,2000
789,9/30/2023,CUST789,Female,61,Clothing,4,500,2000
808,4/1/2023,CUST808,Male,33,Beauty,4,500,2000
832,9/11/2023,CUST832,Male,47,Beauty,4,500,2000
875,8/6/2023,CUST875,Female,51,Electronics,4,500,2000
927,6/24/2023,CUST927,Male,43,Electronics,4,500,2000
946,5/8/2023,CUST946,Male,62,Electronics,4,500,2000
970,5/16/2023,CUST970,Male,59,Electronics,4,500,2000
13,8/5/2023,CUST013,Male,22,Electronics,3,500,1500
16,2/17/2023,CUST016,Male,19,Clothing,3,500,1500
47,11/6/2023,CUST047,Female,40,Beauty,3,500,1500
